n_rep_periods,period_length,clustering_type,weight_type,tol,evaluation_type,normalization,fix_every,chain_weight_type
10,24,hierarchical,dirac,0.01,storage_regret,economic,1,convex
10,24,hierarchical,convex,0.01,storage_regret,economic,1,convex
10,24,hierarchical,conical,0.01,storage_regret,economic,1,convex
10,24,hierarchical,conical_bounded,0.01,storage_regret,economic,1,convex
10,24,chronological,dirac,0.01,storage_regret,economic,1,convex
10,24,chronological,convex,0.01,storage_regret,economic,1,convex
10,24,chronological,conical,0.01,storage_regret,economic,1,convex
10,24,chronological,conical_bounded,0.01,storage_regret,economic,1,convex
10,24,convex_hull,dirac,0.01,storage_regret,economic,1,convex
10,24,convex_hull,convex,0.01,storage_regret,economic,1,convex
10,24,convex_hull,conical,0.01,storage_regret,economic,1,convex
10,24,convex_hull,conical_bounded,0.01,storage_regret,economic,1,convex
10,24,conical_hull,dirac,0.01,storage_regret,economic,1,convex
10,24,conical_hull,convex,0.01,storage_regret,economic,1,convex
10,24,conical_hull,conical,0.01,storage_regret,economic,1,convex
10,24,conical_hull,conical_bounded,0.01,storage_regret,economic,1,convex
20,24,k_means,dirac,0.01,storage_regret,economic,1,none
20,24,k_means,convex,0.01,storage_regret,economic,1,none
20,24,k_means,conical,0.01,storage_regret,economic,1,none
20,24,k_means,conical_bounded,0.01,storage_regret,economic,1,none
20,24,k_medoids,dirac,0.01,storage_regret,economic,1,convex
20,24,k_medoids,convex,0.01,storage_regret,economic,1,convex
20,24,k_medoids,conical,0.01,storage_regret,economic,1,convex
20,24,k_medoids,conical_bounded,0.01,storage_regret,economic,1,convex
20,24,hierarchical,dirac,0.01,storage_regret,economic,1,convex
20,24,hierarchical,convex,0.01,storage_regret,economic,1,convex
20,24,hierarchical,conical,0.01,storage_regret,economic,1,convex
20,24,hierarchical,conical_bounded,0.01,storage_regret,economic,1,convex
20,24,chronological,dirac,0.01,storage_regret,economic,1,convex
20,24,chronological,convex,0.01,storage_regret,economic,1,convex
20,24,chronological,conical,0.01,storage_regret,economic,1,convex
20,24,chronological,conical_bounded,0.01,storage_regret,economic,1,convex
20,24,convex_hull,dirac,0.01,storage_regret,economic,1,convex
20,24,convex_hull,convex,0.01,storage_regret,economic,1,convex
20,24,convex_hull,conical,0.01,storage_regret,economic,1,convex
20,24,convex_hull,conical_bounded,0.01,storage_regret,economic,1,convex
20,24,conical_hull,dirac,0.01,storage_regret,economic,1,convex
20,24,conical_hull,convex,0.01,storage_regret,economic,1,convex
20,24,conical_hull,conical,0.01,storage_regret,economic,1,convex
20,24,conical_hull,conical_bounded,0.01,storage_regret,economic,1,convex
40,24,k_means,dirac,0.01,storage_regret,economic,1,none
40,24,k_means,convex,0.01,storage_regret,economic,1,none
40,24,k_means,conical,0.01,storage_regret,economic,1,none
40,24,k_means,conical_bounded,0.01,storage_regret,economic,1,none
40,24,k_medoids,dirac,0.01,storage_regret,economic,1,convex
40,24,k_medoids,convex,0.01,storage_regret,economic,1,convex
40,24,k_medoids,conical,0.01,storage_regret,economic,1,convex
40,24,k_medoids,conical_bounded,0.01,storage_regret,economic,1,convex
40,24,hierarchical,dirac,0.01,storage_regret,economic,1,convex
40,24,hierarchical,convex,0.01,storage_regret,economic,1,convex
40,24,hierarchical,conical,0.01,storage_regret,economic,1,convex
40,24,hierarchical,conical_bounded,0.01,storage_regret,economic,1,convex
40,24,chronological,dirac,0.01,storage_regret,economic,1,convex
40,24,chronological,convex,0.01,storage_regret,economic,1,convex
40,24,chronological,conical,0.01,storage_regret,economic,1,convex
40,24,chronological,conical_bounded,0.01,storage_regret,economic,1,convex
40,24,convex_hull,dirac,0.01,storage_regret,economic,1,convex
40,24,convex_hull,convex,0.01,storage_regret,economic,1,convex
40,24,convex_hull,conical,0.01,storage_regret,economic,1,convex
40,24,convex_hull,conical_bounded,0.01,storage_regret,economic,1,convex
40,24,conical_hull,dirac,0.01,storage_regret,economic,1,convex
40,24,conical_hull,convex,0.01,storage_regret,economic,1,convex
40,24,conical_hull,conical,0.01,storage_regret,economic,1,convex
40,24,conical_hull,conical_bounded,0.01,storage_regret,economic,1,convex
80,24,k_means,dirac,0.01,storage_regret,economic,1,none
80,24,k_means,convex,0.01,storage_regret,economic,1,none
80,24,k_means,conical,0.01,storage_regret,economic,1,none
80,24,k_means,conical_bounded,0.01,storage_regret,economic,1,none
80,24,k_medoids,dirac,0.01,storage_regret,economic,1,convex
80,24,k_medoids,convex,0.01,storage_regret,economic,1,convex
80,24,k_medoids,conical,0.01,storage_regret,economic,1,convex
80,24,k_medoids,conical_bounded,0.01,storage_regret,economic,1,convex
80,24,hierarchical,dirac,0.01,storage_regret,economic,1,convex
80,24,hierarchical,convex,0.01,storage_regret,economic,1,convex
80,24,hierarchical,conical,0.01,storage_regret,economic,1,convex
80,24,hierarchical,conical_bounded,0.01,storage_regret,economic,1,convex
80,24,chronological,dirac,0.01,storage_regret,economic,1,convex
80,24,chronological,convex,0.01,storage_regret,economic,1,convex
80,24,chronological,conical,0.01,storage_regret,economic,1,convex
80,24,chronological,conical_bounded,0.01,storage_regret,economic,1,convex
80,24,convex_hull,dirac,0.01,storage_regret,economic,1,convex
80,24,convex_hull,convex,0.01,storage_regret,economic,1,convex
80,24,convex_hull,conical,0.01,storage_regret,economic,1,convex
80,24,convex_hull,conical_bounded,0.01,storage_regret,economic,1,convex
80,24,conical_hull,dirac,0.01,storage_regret,economic,1,convex
80,24,conical_hull,convex,0.01,storage_regret,economic,1,convex
80,24,conical_hull,conical,0.01,storage_regret,economic,1,convex
80,24,conical_hull,conical_bounded,0.01,storage_regret,economic,1,convex
